Question;Answer;Author of Answer;Badges of Author of Answer;Votes of Answer
Does DynamoDB query that returns an empty result set consume any capacity?;;;;
How to generate mongodb object id for a sub-document on insert;;;;
Using an Increment counter for unique key generation in a Couchbase cluster;;;;
What's the best way to store/query multiple types within a RavenDB collection?;Go with the base class thing. The trick is to use polymorphism and set all concrete types to use the same type tag name. Now, you can query them easily, since they are in the same collection.;;;2
How is a Document based DB so fast?;The NoSQL speak can be prone to misunderstandings, as some of the concepts will use names, that have a different meaning to the traditional one:;;;2
file-based NoSql database?;There are many key-value open-source databases that can be linked directly into your application. Here are a few:;;;3
Neo4j and django models;Have you seen Tobias's blog post about Django integration? It's kinda old now, but still relevant. Plus there are examples you can check out too.;;;1
wordpress and node.js;Right, it's possible. The only catch is that Apache (running Wordpress) and Node.JS can't bind to the same port. In other words, you'll need to have Wordpress running on port 8080 and Node running on 80 (or other different ports).;;;1
Is there an emerging standard API for NoSQL Databases? [closed];Relational database have the SQL language.;unludounludo;            4,59266 gold badges4141 silver badges6767 bronze badges;2
parent->child relationships in appengine python (bigtable);;;;2
Scalability of Using MySQL as a Key/Value Database;I'd say that you'll have to run your own benchmark because it is only you that knows the following important aspects:;;;2
Best Database for Blog Application (Relational - SQL vs NoSQL);"I have been using mongo nosql for smaller web applications. Mongo nosql would  work really well for such an application.
Easy to connect to, and easy to get into since its object related.
Just my opinion.";;;2
How do implement schema changes in a NOSQL storage system;RavenDB another NoSQL database uses migrations to acheive this;;;1
NoSQL database with high read performances (write accesses are not significant)?;I would say that Redis is a good fit for your DB, and you should look at something like Solr or elasticsearch to provide your searching.;;;1
RavenDB ID prefix and REST API;"I have  not used ravendb outside of toy projects, but when I read ayendes book, I thought this would be a problem.
I see three possible ways to circumvent this:";;;2
Is there a reason that Cassandra doesn't have Geospatial support?;;;;
String or integer query in mongoDB for a single field;;;;0
Mongo Db and Spring;"Have you seen this? 
http://java.dzone.com/articles/build-spring-data-project
more can be found here http://static.springsource.org/spring-data/data-document/docs/current/reference/html/";;;0
Designing tables in Amazon dynamodb;;;;
Too many indexes in RavenDB;;;;
How to build a no install, client-side only, database web app;Here's what I would implement in your situation:;;;0
Should I go for document-based or graph database? (MongoDB vs Neo4j) [closed];;;;
Firebase vs Parse (What are actual examples of apps when Firebase is preferable?);;;;
NoSQL vs NewSQL [closed];;;;
How good is (and will be) Postgresql's Hstore compared to a document DB? [closed];;;;
Is there any reason not to use OrientDB? [closed];Main reason: Bugs, lots of them.;;;16
Select distinct rows from MongoDB;Looks like there is a SQL mapping chart that I overlooked earlier.;Josh KJosh K;            27.1k2020 gold badges8181 silver badges132132 bronze badges;16
NodeJS Mongo - Mongoose - Dynamic collection name;Use the function to get the model dynamically.;ManvelManvel;            67077 silver badges77 bronze badges;9
What is NoSql? What is Purpose of NoSql? Where can i get sufficient material on NoSql?;"NoSQL vs SQL is really about trade-offs.
NoSQL have advantages over traditional SQL databases because they give up certain RDBMS features to gain other performance, scalability and developer usability features.";Sam TahaSam Taha;            16111 silver badge33 bronze badges;13
Mongo DB relations between objects;"I'd say no. You are ""supposed"" to store everything you need in a blog document in a denormalized way (e.g. the blog post, the comments, the tags, etc). So if you want to show the Author's name, you should add it to the blog document. This would allow to fetch an entire page's data with a single query, which is kinda the point of a document-oriented database.";Pascal ThiventPascal Thivent;            545k132132 gold badges10381038 silver badges11111111 bronze badges;9
Binning and tabulate (unique/count) in Mongo;Konstantin's answer was right. MapReduce gets the job done. Here is the full solution in case others find this interesting.;;;2
Wildcards in Views with CouchDB?;Wildcard is not possible, but you can specify startkey and endkey:;;;7
Beginning Cassandra -- Use Kundera? Something else? [closed];Use the native CQL driver and read the documentation on data modeling.  Pretending that Cassandra is a relational database the way Kundera does is a great way to paint yourself into a corner without quite understanding how you got there.;;;8
Cassandra low performance?;"If I am not mistaken, Cassandra allows you to specify whether or not you are doing a MongoDB-equivalent ""safe mode"" insert.  (I dont recall the name of that feature in Cassandra)";;;4
